Query,Avg (last 4 runs),Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Created At,Test run no.,malloc 0,malloc 1,malloc 2,malloc 3,malloc 4
1,0.0008593262499800858,0.0008055099999637605,0.0008850489999758793,0.0009220489999961501,0.0008689699999422373,0.0007612370000060764,2024-11-23 08:43:02.562110,21,2969967.0,2969967.0,2969967.0,2969967.0,2969967.0
2,0.000661179999980277,0.0006186599999864484,0.0007026980000546246,0.0005902569999989282,0.0006588049999436407,0.0006929599999239144,2024-11-23 08:43:02.562110,21,2969967.0,2969967.0,2969967.0,2969967.0,2969967.0
3,0.0017818384999941372,0.0018978990000277918,0.001782402000003458,0.0017574350000586492,0.001559745000008661,0.002027771999905781,2024-11-23 08:43:02.562110,21,2969967.0,2969967.0,2969967.0,2969967.0,2969967.0
4,0.0005603832500469252,0.0006498589999637261,0.0005571340000187774,0.0006370550000838193,0.000544101000059527,0.0005032430000255772,2024-11-23 08:43:02.562110,21,2969967.0,2969967.0,2969967.0,2969967.0,2969967.0
5,0.0008915167500163079,0.001035802000046715,0.001015735000009954,0.0008588409999674695,0.0008330819999855521,0.000858409000102256,2024-11-23 08:43:02.562110,21,2969967.0,2969967.0,2969967.0,2969967.0,2969967.0
